model,split,eval_rows,subset_accuracy,exact_match_rate,avg_jaccard,micro_f1,macro_f1,weighted_f1,hamming_loss
count_word_lr_threshold,valid,315,0.13015873015873017,0.130159,0.614361,0.7411347517730497,0.2210392011500894,0.7272769098124533,0.06621315192743764
count_word_lr_threshold,test,347,0.14121037463976946,0.14121,0.594257,0.7241237113402061,0.19330893481830547,0.712763267484222,0.06885549608892548
tfidf_word_lr_threshold,valid,315,0.1111111111111111,0.111111,0.60901,0.7386172006745363,0.1963504548234069,0.7350302933064694,0.07029478458049887
tfidf_word_lr_threshold,test,347,0.13256484149855907,0.132565,0.604906,0.735981308411215,0.20800362827632848,0.7425628335452267,0.06978180321119802
tfidf_word_char_lr_threshold,valid,315,0.13015873015873017,0.130159,0.612124,0.7402707275803723,0.21361963307487966,0.7409525076142763,0.06961451247165533
tfidf_word_char_lr_threshold,test,347,0.13256484149855907,0.132565,0.598319,0.7311912225705329,0.21472446040671753,0.7395681199581965,0.07060518731988473
