model,split,eval_rows,subset_accuracy,exact_match_rate,avg_jaccard,micro_f1,macro_f1,weighted_f1,hamming_loss
count_word_lr_threshold,valid,315,0.10793650793650794,0.107937,0.605057,0.7347457627118644,0.23390468822375804,0.7370469445088677,0.0709750566893424
count_word_lr_threshold,test,347,0.10951008645533142,0.10951,0.58144,0.7141162514827996,0.20161830777507256,0.717796539669346,0.07441333882256072
tfidf_word_lr_threshold,valid,315,0.02857142857142857,0.028571,0.556259,0.7000726216412491,0.2736040750900319,0.7633276297635607,0.09365079365079365
tfidf_word_lr_threshold,test,347,0.025936599423631124,0.025937,0.547664,0.6934673366834171,0.24634111567589143,0.7626191458293323,0.09417455743104158
tfidf_word_char_lr_threshold,valid,315,0.05714285714285714,0.057143,0.563405,0.6994134897360704,0.2716151652428099,0.7644073499517556,0.09297052154195011
tfidf_word_char_lr_threshold,test,347,0.04610951008645533,0.04611,0.53932,0.6835871404399323,0.2363576936266183,0.7535347855039641,0.09623301770275834
