model,split,eval_rows,subset_accuracy,exact_match_rate,avg_jaccard,micro_f1,macro_f1,weighted_f1,hamming_loss
count_word_lr_threshold,valid,40,0.1,0.1,0.617083,0.7412587412587412,0.29915039473863003,0.7273716832540362,0.115625
count_word_lr_threshold,test,40,0.15,0.15,0.58881,0.710801393728223,0.25025676937441643,0.7314843108960757,0.1296875
tfidf_word_lr_threshold,valid,40,0.075,0.075,0.579226,0.7133333333333334,0.33534278221778224,0.7539895818467247,0.134375
tfidf_word_lr_threshold,test,40,0.0,0.0,0.524881,0.6666666666666666,0.2439267211099403,0.7231233568562335,0.1546875
tfidf_word_char_lr_threshold,valid,40,0.125,0.125,0.655833,0.7724137931034483,0.36995943907708617,0.7687619600854895,0.103125
tfidf_word_char_lr_threshold,test,40,0.05,0.05,0.563542,0.7013888888888888,0.24061161301542044,0.7211522887086947,0.134375
