model,split,eval_rows,subset_accuracy,exact_match_rate,avg_jaccard,micro_f1,macro_f1,weighted_f1,hamming_loss
count_word_lr_threshold,valid,315,0.10793650793650794,0.107937,0.606818,0.7368421052631579,0.23382472186074985,0.735516381940834,0.06972789115646258
count_word_lr_threshold,test,347,0.10951008645533142,0.10951,0.586099,0.7187250996015936,0.20435667652988246,0.718740432941068,0.07266364759160149
tfidf_word_lr_threshold,valid,315,0.050793650793650794,0.050794,0.58542,0.7236180904522613,0.236571964297614,0.754592407462598,0.0810657596371882
tfidf_word_lr_threshold,test,347,0.05763688760806916,0.057637,0.582098,0.72073995019566,0.24114873226325936,0.7600865523366482,0.08079456566488266
tfidf_word_char_lr_threshold,valid,315,0.06984126984126984,0.069841,0.588866,0.7229755908562573,0.2457824497394692,0.7591516361903412,0.0810657596371882
tfidf_word_char_lr_threshold,test,347,0.07780979827089338,0.07781,0.572053,0.7101604278074867,0.2267423422755836,0.7553741952855335,0.08367641004528613
count_word_lr_threshold_refit_train_valid,test_refit_train_valid,347,0.12680115273775217,0.126801,0.581858,0.714968152866242,0.1947555452746988,0.7176809199106585,0.07369287772745986
